강의실번호,건물번호,수용인원
1,1,140
2,1,40
3,1,40
4,1,40
5,1,40
6,1,40
7,1,30
8,1,35
9,1,40
10,1,40
11,1,50
12,1,100
13,1,40
14,1,50
15,1,40
16,1,40
17,1,50
18,1,40
19,1,40
20,2,40
21,2,40
22,2,40
23,2,50
24,2,40
25,2,40
26,2,80
27,2,40
28,2,120
29,2,40
30,2,40
31,2,50
32,2,40
33,2,40
34,2,30
35,3,40
36,3,40
37,3,40
38,3,40
39,3,50
40,3,40
41,3,40
42,3,40
43,3,40
44,3,50
45,3,40
46,3,40
47,3,40
48,3,45
49,3,40
50,3,40
51,3,100
52,3,40
53,3,40
54,3,120
55,4,40
56,4,40
57,4,40
58,4,40
59,4,40
60,4,40
61,4,40
62,4,40
63,4,40
64,4,50
65,4,40
66,4,40
67,4,40
68,5,40
69,5,40
70,5,40
71,5,40
72,5,40
73,6,40
74,6,80
75,6,40
76,6,40
77,6,40
78,6,40
79,6,100
80,6,40
81,6,40
82,6,40
83,6,40
84,6,40
85,6,40
86,6,40
87,6,30
88,6,40
89,6,40
90,6,40
91,6,40
92,6,40
93,6,40
94,6,40
95,6,40
96,6,40
97,6,35
98,6,40
99,6,40
100,6,40
101,6,40
102,6,40
103,6,40
104,6,40
105,6,40
106,6,45
107,7,40
108,7,40
109,7,40
110,7,40
111,7,40
112,7,40
113,7,40
114,7,55
115,7,40
116,7,40
117,7,40
118,7,40
119,7,40
120,7,40
121,7,40
122,7,40
123,7,65
124,7,40
125,7,40
126,7,40
127,7,40
128,7,40
129,7,40
130,8,40
131,8,40
132,8,110
133,8,40
134,8,40
135,8,40
136,8,40
137,9,40
138,9,40
139,9,40
140,9,90
141,9,40
142,9,40
143,9,40
144,9,40
145,9,40
146,10,40
147,10,70
148,10,40
149,10,40
150,10,40
151,10,40
152,10,40
153,10,40
154,10,60
155,10,40
156,11,40
157,11,40
158,11,40
159,11,40
160,11,40
161,11,40
162,11,40
163,11,65
164,11,40
165,11,40
166,11,40
167,11,40
168,11,40
169,12,120
170,12,40
171,12,40
172,12,40
173,12,80
174,12,40
175,12,40
176,12,40
177,12,40
178,12,40
179,12,35
180,12,40
181,12,55
182,12,40
183,12,40
184,12,45
185,12,40
186,12,40
187,13,40
188,13,95
189,13,40
190,13,40
191,13,40
192,13,40
193,13,40
194,13,40
195,13,40
196,13,40
197,13,84
198,13,50
199,13,40